ID,Password,Last name,First name,Class,Gender,Date of Birth,Academic year,Staff
110,123,Le Thi Anh,Thao,Le Thi Anh,Female,8/16/1989,0,TRUE
111,321,Nguyen Thi Minh,Phuc,Nguyen Thi Minh,Female,8/2/1990,0,TRUE
112,123,Hoang Thanh,Tu,Hoang Thanh,Female,7/4/1991,0,TRUE
231201,1,Nguyen,Anh,Nguyen,Male,1/15/2001,2023,FALSE
231202,1,Tran,Binh,Tran,Female,2/20/2000,2023,FALSE
231203,1,Le,Cuong,Le,Male,3/25/1999,2023,FALSE
231204,1,Pham,Duy,Pham,Female,4/30/1998,2023,FALSE
231205,1,Hoang,Thanh,Hoang,Male,5/10/2001,2023,FALSE
231206,1,Vu,Ngoc,Vu,Female,6/12/2000,2023,FALSE
231207,1,Vo,Hoa,Vo,Male,7/22/1999,2023,FALSE
231208,1,Do,Lan,Do,Female,8/2/1998,2023,FALSE
231209,1,Phan,Minh,Phan,Male,9/15/2001,2023,FALSE
231210,1,Duong,Phuong,Duong,Female,10/25/2000,2023,FALSE
231211,1,Bui,Quyen,Bui,Male,11/11/1999,2023,FALSE
231212,1,Doan,Tam,Doan,Female,12/19/1998,2023,FALSE
231213,1,Luu,Vy,Luu,Male,1/5/2001,2023,FALSE
231214,1,Dang,Thi,Dang,Female,2/16/2000,2023,FALSE
231215,1,Nguyen,Trung,Nguyen,Male,3/20/2001,2023,FALSE
231216,1,Tran,Thu,Tran,Female,4/18/2000,2023,FALSE
231217,1,Le,Van,Le,Male,5/29/1999,2023,FALSE
231218,1,Pham,Huong,Pham,Female,6/7/1998,2023,FALSE
231219,1,Hoang,Hai,Hoang,Male,7/9/2001,2023,FALSE
231220,1,Vo,Thi,Vo,Female,8/14/2000,2023,FALSE
22120096,1,Nguyen,Cuong,Nguyen,Male,3/25/2004,2022,FALSE
22120097,1,Tran,An,Tran,Female,4/30/2003,2022,FALSE
22120098,1,Dang,Thanh,Dang,Male,5/10/2004,2022,FALSE
22120099,1,Nguyen,Bao,Nguyen,Male,1/15/2003,2022,FALSE
22120100,1,Tran,Thanh,Tran,Female,2/20/2004,2022,FALSE
22120101,1,Pham,Duy,Pham,Female,4/30/2003,2022,FALSE
22120102,1,Nguyen,Anh,Nguyen,Male,1/15/2004,2022,FALSE
22120103,1,Tran,Binh,Tran,Female,2/20/2003,2022,FALSE
22120104,1,Le,Cuong,Le,Male,3/25/2004,2022,FALSE
22120105,1,Pham,Quang,Pham,Male,4/30/2003,2022,FALSE
22120106,1,Hoang,Thanh,Hoang,Male,5/10/2004,2022,FALSE
22120107,1,Vu,Ngoc,Vu,Female,6/12/2003,2022,FALSE
22120108,1,Vo,Hoa,Vo,Male,7/22/2003,2022,FALSE
22120109,1,Do,Lan,Do,Female,8/2/2003,2022,FALSE
22120110,1,Phan,Minh,Phan,Male,9/15/2004,2022,FALSE
22120111,1,Duong,Phuong,Duong,Female,10/25/2003,2022,FALSE
22120112,1,Bui,Quyen,Bui,Male,11/11/2004,2022,FALSE
22120113,1,Doan,Tam,Doan,Female,12/19/2003,2022,FALSE
22120114,1,Luu,Vy,Luu,Male,1/5/2004,2022,FALSE
22120115,1,Dang,Thi,Dang,Female,2/16/2003,2022,FALSE
22120116,1,Nguyen,Cuong,Nguyen,Male,3/25/2004,2022,FALSE
22120117,1,Tran,An,Tran,Female,4/30/2003,2022,FALSE
22120118,1,Dang,Thanh,Dang,Male,5/10/2004,2022,FALSE
22120119,1,Nguyen,Bao,Nguyen,Male,1/15/2003,2022,FALSE
22120120,1,Tran,Thanh,Tran,Female,2/20/2004,2022,FALSE
