No,Student ID,Last name,First name,Gender,Date of Birth,Social ID,Academic year
1,20120001,Nguyen,Anh,Male,15/01/2001,123456789,2020
2,20120002,Tran,Binh,Female,20/02/2002,987654321,2020
3,20120003,Hoang,Thanh,Male,10/05/2001,321548765,2020
4,20120004,Vo,Hoa,Male,22/07/2001,546321987,2020
5,20120005,Phan,Minh,Male,15/09/2001,998543123,2020
6,20120006,Nguyen,Trung,Male,20/03/2002,624518937,2020
7,20120007,Hoang,Hai,Male,09/07/2002,945871236,2020
8,20120008,Le,Cuong,Male,25/03/2001,456789012,2020
9,20120009,Pham,Duy,Female,30/04/2001,654321098,2020
10,20120010,Vu,Ngoc,Female,12/06/2002,213659874,2020
11,20120011,Do,Lan,Female,02/08/2001,874236578,2020
12,20120012,Duong,Phuong,Female,25/10/2001,113246578,2020
13,20120013,Bui,Quyen,Male,11/11/2002,657239845,2020
14,20120014,Doan,Tam,Female,19/12/2001,876452134,2020
15,20120015,Luu,Vy,Male,05/01/2002,762983452,2020
16,20120016,Dang,Thi,Female,16/02/2001,839264175,2020
17,20120017,Tran,Thu,Female,18/04/2001,185793624,2020
18,20120018,Le,Van,Male,29/05/2002,937468215,2020
19,20120019,Pham,Huong,Female,07/06/2001,362514879,2020
20,20120020,Vo,Thi,Female,14/08/2002,512487693,2020
