No,Student ID,Last name,First name,Gender,Date of Birth,Social ID,Academic year
96,20120096,Tran,Duc,Male,22/07/2001,546321987,2020
97,20120097,Pham,Anh,Female,12/06/2002,213659874,2020
98,20120098,Vo,Tuan,Male,25/03/2001,456789012,2020
99,20120099,Le,Minh,Male,30/04/2001,654321098,2020
100,20120100,Dang,Hoa,Female,10/05/2002,321548765,2020
101,20120101,Nguyen,Bao,Male,15/01/2001,123456789,2020
102,20120102,Tran,Thanh,Female,20/02/2002,987654321,2020
103,20120103,Pham,Quyen,Male,25/03/2001,456789012,2020
104,20120104,Vo,An,Female,30/04/2001,654321098,2020
105,20120105,Nguyen,Tuan,Male,10/05/2002,321548765,2020
106,20120106,Tran,Minh,Male,12/06/2001,213659874,2020
107,20120107,Pham,Hoang,Female,22/07/2001,546321987,2020
108,20120108,Le,Duc,Male,02/08/2002,874236578,2020
109,20120109,Nguyen,Quang,Male,15/09/2001,998543123,2020
110,20120110,Tran,Hanh,Female,25/10/2002,113246578,2020
111,20120111,Pham,Tam,Female,11/11/2001,657239845,2020
112,20120112,Dang,Hien,Female,19/12/2002,876452134,2020
113,20120113,Luu,Minh,Male,05/01/2001,762983452,2020
114,20120114,Tran,Anh,Female,16/02/2002,839264175,2020
115,20120115,Le,Hoang,Male,20/03/2001,624518937,2020
116,20120116,Pham,Dung,Female,18/04/2002,185793624,2020
117,20120117,Vo,Nhan,Male,29/05/2001,937468215,2020
118,20120118,Nguyen,Thi,Female,07/06/2002,362514879,2020
119,20120119,Tran,Tuan,Female,09/07/2001,945871236,2020
120,20120120,Pham,Hanh,Male,14/08/2002,512487693,2020
