No,Student ID,Last Name,First Name,Gender,Date of Birth,Social ID,Academic Year
71,22120071,Nguyen,Cuong,Male,25/03/2004,456789012,2022
72,22120072,Tran,An,Female,30/04/2003,654321098,2022
73,22120073,Dang,Thanh,Male,10/05/2004,321548765,2022
74,22120074,Nguyen,Bao,Male,15/01/2003,123456789,2022
75,22120075,Tran,Thanh,Female,20/02/2004,987654321,2022
76,22120076,Pham,Duy,Female,30/04/2003,654321098,2022
77,22120077,Nguyen,Anh,Male,15/01/2004,123456789,2022
78,22120078,Tran,Binh,Female,20/02/2003,987654321,2022
79,22120079,Le,Cuong,Male,25/03/2004,456789012,2022
80,22120080,Pham,Quang,Male,30/04/2003,654321098,2022
81,22120081,Hoang,Thanh,Male,10/05/2004,321548765,2022
82,22120082,Vu,Ngoc,Female,12/06/2003,213659874,2022
83,22120083,Vo,Hoa,Male,22/07/2003,546321987,2022
84,22120084,Do,Lan,Female,02/08/2003,874236578,2022
85,22120085,Phan,Minh,Male,15/09/2004,998543123,2022
86,22120086,Duong,Phuong,Female,25/10/2003,113246578,2022
87,22120087,Bui,Quyen,Male,11/11/2004,657239845,2022
88,22120088,Doan,Tam,Female,19/12/2003,876452134,2022
89,22120089,Luu,Vy,Male,05/01/2004,762983452,2022
90,22120090,Dang,Thi,Female,16/02/2003,839264175,2022
91,22120091,Nguyen,Cuong,Male,25/03/2004,456789012,2022
92,22120092,Tran,An,Female,30/04/2003,654321098,2022
93,22120093,Dang,Thanh,Male,10/05/2004,321548765,2022
94,22120094,Nguyen,Bao,Male,15/01/2003,123456789,2022
95,22120095,Tran,Thanh,Female,20/02/2004,987654321,2022
