No,Student ID,StudentFull Name,Total Mark,Final Mark,Midterm Mark,Other Mark
1,231201,Nguyen Anh,0,0,0,0
2,231202,Tran Binh,0,0,0,0
3,231203,Le Cuong,0,0,0,0
4,231204,Pham Duy,0,0,0,0
5,231205,Hoang Thanh,0,0,0,0
6,231206,Vu Ngoc,0,0,0,0
7,231207,Vo Hoa,0,0,0,0
8,231208,Do Lan,0,0,0,0
9,231209,Phan Minh,0,0,0,0
10,231210,Duong Phuong,0,0,0,0
11,231211,Bui Quyen,0,0,0,0
12,231212,Doan Tam,0,0,0,0
13,231213,Luu Vy,0,0,0,0
14,231214,Dang Thi,0,0,0,0
15,231215,Nguyen Trung,0,0,0,0
16,231216,Tran Thu,0,0,0,0
17,231217,Le Van,0,0,0,0
18,231218,Pham Huong,0,0,0,0
19,231219,Hoang Hai,0,0,0,0
20,231220,Vo Thi,0,0,0,0
1,231201,Nguyen Anh,10,9.8,10,10
2,231202,Tran Binh,9,7,10,10
3,231203,Le Cuong,8,10,6,5
4,231204,Pham Duy,0,0,0,0
5,231205,Hoang Thanh,0,0,0,0
6,231206,Vu Ngoc,0,0,0,0
7,231207,Vo Hoa,0,0,0,0
8,231208,Do Lan,0,0,0,0
9,231209,Phan Minh,0,0,0,0
10,231210,Duong Phuong,0,0,0,0
11,231211,Bui Quyen,0,0,0,0
12,231212,Doan Tam,0,0,0,0
13,231213,Luu Vy,0,0,0,0
14,231214,Dang Thi,0,0,0,0
15,231215,Nguyen Trung,0,0,0,0
16,231216,Tran Thu,0,0,0,0
17,231217,Le Van,0,0,0,0
18,231218,Pham Huong,0,0,0,0
19,231219,Hoang Hai,0,0,0,0
20,231220,Vo Thi,0,0,0,0
