No,Student ID,Last name,First name,Gender,Date of Birth,Social ID,Academic year
1,19120001,Nguyen,Anh,Male,15/01/2001,123456789,2019
2,19120002,Tran,Binh,Female,20/02/2000,987654321,2019
3,19120003,Hoang,Thanh,Male,10/05/2001,321548765,2019
4,19120004,Vo,Hoa,Male,22/07/1999,546321987,2019
5,19120005,Phan,Minh,Male,15/09/2001,998543123,2019
6,19120006,Nguyen,Trung,Male,20/03/2001,624518937,2019
7,19120007,Hoang,Hai,Male,09/07/2001,945871236,2019
8,19120008,Le,Cuong,Male,25/03/1999,456789012,2019
9,19120009,Pham,Duy,Female,30/04/1998,654321098,2019
10,19120010,Vu,Ngoc,Female,12/06/2000,213659874,2019
11,19120011,Do,Lan,Female,02/08/1998,874236578,2019
12,19120012,Duong,Phuong,Female,25/10/2000,113246578,2019
13,19120013,Bui,Quyen,Male,11/11/1999,657239845,2019
14,19120014,Doan,Tam,Female,19/12/1998,876452134,2019
15,19120015,Luu,Vy,Male,05/01/2001,762983452,2019
16,19120016,Dang,Thi,Female,16/02/2000,839264175,2019
17,19120017,Tran,Thu,Female,18/04/2000,185793624,2019
18,19120018,Le,Van,Male,29/05/1999,937468215,2019
19,19120019,Pham,Huong,Female,07/06/1998,362514879,2019
20,19120020,Vo,Thi,Female,14/08/2000,512487693,2019
21,19120021,Nguyen,Hoa,Male,22/07/1999,546321987,2019
22,19120022,Tran,Hien,Female,12/06/2000,213659874,2019
23,19120023,Le,Tuan,Male,25/03/1999,456789012,2019
24,19120024,Pham,Quang,Male,30/04/1998,654321098,2019
25,19120025,Ngo,Thanh,Female,10/05/2001,321548765,2019
