No,Student ID,Last Name,First Name,Gender,Date of Birth,Social ID,Academic Year
46,22120046,Nguyen,Cuong,Male,25/03/2004,456789012,2022
47,22120047,Tran,An,Female,30/04/2003,654321098,2022
48,22120048,Dang,Thanh,Male,10/05/2004,321548765,2022
49,22120049,Nguyen,Bao,Male,15/01/2003,123456789,2022
50,22120050,Tran,Thanh,Female,20/02/2004,987654321,2022
51,22120051,Pham,Duy,Female,30/04/2003,654321098,2022
52,22120052,Nguyen,Anh,Male,15/01/2004,123456789,2022
53,22120053,Tran,Binh,Female,20/02/2003,987654321,2022
54,22120054,Le,Cuong,Male,25/03/2004,456789012,2022
55,22120055,Pham,Quang,Male,30/04/2003,654321098,2022
56,22120056,Hoang,Thanh,Male,10/05/2004,321548765,2022
57,22120057,Vu,Ngoc,Female,12/06/2003,213659874,2022
58,22120058,Vo,Hoa,Male,22/07/2003,546321987,2022
59,22120059,Do,Lan,Female,02/08/2003,874236578,2022
60,22120060,Phan,Minh,Male,15/09/2004,998543123,2022
61,22120061,Duong,Phuong,Female,25/10/2003,113246578,2022
62,22120062,Bui,Quyen,Male,11/11/2004,657239845,2022
63,22120063,Doan,Tam,Female,19/12/2003,876452134,2022
64,22120064,Luu,Vy,Male,05/01/2004,762983452,2022
65,22120065,Dang,Thi,Female,16/02/2003,839264175,2022
66,22120066,Nguyen,Cuong,Male,25/03/2004,456789012,2022
67,22120067,Tran,An,Female,30/04/2003,654321098,2022
68,22120068,Dang,Thanh,Male,10/05/2004,321548765,2022
69,22120069,Nguyen,Bao,Male,15/01/2003,123456789,2022
70,22120070,Tran,Thanh,Female,20/02/2004,987654321,2022
